outcome,treatment,n,outcome_label,treatment_label,mean_pred_coef,mean_pred_se,mean_pred_p,diff_pred_coef,diff_pred_se,diff_pred_p,mean_calibrated,heterogeneity_detected,what_sd,what_min,what_max,piling_low,piling_high,piling_flag,calibration_quality,primary
O5_aidpoor_binary,C_pers_fin_last,3946,Aid to poor opposition,Personal financial retrospective pessimism,0.9273745597269103,0.5202475354972274,0.037367096901279415,0.323577787511364,0.8135726127700811,0.3454273880597065,TRUE,FALSE,0.5546714871119929,2.232407456291192,4.5961768176498445,0,0,FALSE,Good,FALSE
O5_aidpoor_binary,C_fin_nextyear,3946,Aid to poor opposition,Personal financial prospective worry,23.30893555672712,26.379585695011706,0.1884836969996866,-5.565673012455119,1.314760458651632,0.9999882193523332,FALSE,FALSE,0.2000901332780904,2.403452062127092,3.4914897408921313,0,0,FALSE,Recalibrate,FALSE
O6_status_jobs_threat,C_nat_econ_last,3946,White status / jobs threat,National retrospective economic pessimism,1.0510179066913825,0.20204298161416,1.0361447994747469e-7,0.425105953578696,0.5401341997021656,0.2156535570430913,TRUE,FALSE,0.9746931305912147,1.7481069627457464,4.906218938889395,0,0.08996452103395844,FALSE,Good,FALSE
O6_status_jobs_threat,C_nat_econ_next,3946,White status / jobs threat,National prospective economic pessimism,1.446757426692693,4.530885223519197,0.37475414164517445,0.518976630877291,0.7267973986433235,0.23761630295255098,FALSE,FALSE,0.349228535924656,1.940607020974667,3.620078554475973,0,0,FALSE,Recalibrate,FALSE
O6_status_jobs_threat,C_pers_fin_last,3946,White status / jobs threat,Personal financial retrospective pessimism,0.5974345675267732,1.2221843574330442,0.31249630185303046,-1.619432601594188,0.8969320309183876,0.9644655532142365,FALSE,FALSE,0.5546714871119929,2.232407456291192,4.5961768176498445,0,0,FALSE,Recalibrate,FALSE
O6_status_jobs_threat,C_fin_nextyear,3946,White status / jobs threat,Personal financial prospective worry,0.871998725215291,2.2565667579696203,0.34960058520602555,0.39416143114686897,0.6675861939113185,0.27746886104333257,TRUE,FALSE,0.2000901332780904,2.403452062127092,3.4914897408921313,0,0,FALSE,Good,FALSE
O7_gov_favors_blacks_amt,C_nat_econ_last,3946,Government favors Blacks (amount),National retrospective economic pessimism,1.505276451011646,1.0809380758804283,0.08191494753030684,-2.7839816815030907,0.9260499678829087,0.998669416780606,FALSE,FALSE,0.9746931305912147,1.7481069627457464,4.906218938889395,0,0.08996452103395844,FALSE,Recalibrate,FALSE
O7_gov_favors_blacks_amt,C_nat_econ_next,3946,Government favors Blacks (amount),National prospective economic pessimism,3.8134075877152265,2.7059098620982294,0.07941436228928243,-1.341778647834382,0.6518998536729488,0.9801845758968439,FALSE,FALSE,0.349228535924656,1.940607020974667,3.620078554475973,0,0,FALSE,Recalibrate,FALSE
O7_gov_favors_blacks_amt,C_pers_fin_last,3946,Government favors Blacks (amount),Personal financial retrospective pessimism,1.0640089841806644,0.364487147124274,0.0017646166503980946,0.4926356210487152,0.6295066543728841,0.21696211106549462,TRUE,FALSE,0.5546714871119929,2.232407456291192,4.5961768176498445,0,0,FALSE,Good,FALSE
O7_gov_favors_blacks_amt,C_fin_nextyear,3946,Government favors Blacks (amount),Personal financial prospective worry,1.1051917277384082,0.22620682461289315,5.35617086203742e-7,-1.88256190491925,0.8695524686052325,0.9847754195552737,TRUE,FALSE,0.2000901332780904,2.403452062127092,3.4914897408921313,0,0,FALSE,Good,FALSE
