outcome,treatment,outcome_label,treatment_label,variable,importance,rank,variable_label,importance_norm
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241272x,0.012665621645886204,37,Spending: crime,0.11286724644031493
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241320,0.011069268102014515,38,Favor felon voting rights,0.09864164947559292
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241576,0.010275006161841578,39,Little interest/pleasure (PHQ-2),0.09156373726203974
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241375x,0.010094349233022732,40,Ban transgender girls sports (summary),0.08995384785619523
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241123,0.0098541984087318,41,Emotion: worried,0.08781379006622539
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241372x,0.00927583527218332,42,Transgender bathroom policy (summary),0.08265981843420422
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241335,0.008790546566420199,43,Trust in news media,0.07833526165527517
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241237,0.00810458674590516,44,Party better: immigration,0.07222246290959561
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241571,0.007360724585221894,45,Has health insurance,0.06559367861816426
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241554,0.0059449495698485014,46,Stock market investment,0.05297727240993913
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241387,0.005705936055545748,47,Party better: environment,0.05084734953875209
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241025,0.0044934141171020766,48,Party of registration,0.04004219395564177
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241269x,0.004378014717071517,49,Spending: border security,0.03901383444148053
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241122,0.004099514544411217,50,Emotion: happy,0.03653203382401696
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241551,0.0037773109784372777,51,Gender identity,0.03366077883934429
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241319x,0.003557058986347484,52,Favor voter ID (summary),0.031698045657728734
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241124,0.003349195968473171,53,Emotion: proud,0.029845714432291587
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241104,0.0021242325272987747,54,2020 presidential vote recall,0.018929688795262307
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241232,0.001651533451038716,55,Government waste,0.014717322073437636
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241497,0.0010476176304479593,56,Union membership (HH),0.009335642621962698
O1_rr_index,C_nat_econ_next,Racial resentment index,National prospective economic pessimism,V241117,8.310781247624391e-4,57,Right track / wrong track,0.007405992547486506
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241123,0.08542267063574965,1,Emotion: worried,1
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241302,0.04215786656736849,2,Abortion stance (STD),0.4935208212715992
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241483,0.03611698385933901,3,Employment status,0.4228032627701988
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241570,0.03389340322791989,4,Trouble concentrating (past week),0.3967729289622021
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241120,0.030384454289418678,5,Emotion: outraged,0.35569543849759583
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241567x,0.03025143881571116,6,Household income (6-cat),0.35413829362355287
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241422,0.030134253529831217,7,V241422,0.35276646475180484
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241385x,0.03012504544173624,8,Gay marriage (summary),0.35265867032174963
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241119,0.028368577972828924,9,Emotion: afraid,0.332096594050486
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241118,0.02768763536810468,10,Emotion: hopeful,0.3241251433845633
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241608,0.027108936177769088,11,Sexism: women seek control over men,0.3173506046581493
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241578,0.026154088821434884,12,Too sensitive / easily offended,0.30617268960084837
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241378x,0.02530016197768639,13,Gay/lesbian job protection (summary),0.29617619994074723
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241539,0.024863101916909484,14,Financial worry (current),0.29105975886574775
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241420,0.02336250870077091,15,Religion (denomination),0.2734930730554054
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241621,0.022994936005444243,16,Life satisfaction,0.26919008542236783
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241375x,0.022649741756116216,17,Ban transgender girls sports (summary),0.26514907093805173
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241319x,0.021529503368413666,18,Favor voter ID (summary),0.2520350067281027
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241239,0.01952434157518632,19,Spending & services scale,0.22856159178679814
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241554,0.019339325850229145,20,Stock market investment,0.2263957062720956
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241576,0.01810879307026605,21,Little interest/pleasure (PHQ-2),0.21199048139672028
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241397,0.017764057737878865,22,Best way to deal with urban unrest,0.2079548392209193
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241122,0.017036337270272435,23,Emotion: happy,0.1994357837735721
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241381x,0.01687582696596009,24,Gay/lesbian couples adopt (summary),0.19755677082399134
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241177,0.01661484792842684,25,Ideology (liberal-conservative),0.1945016212297333
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241272x,0.015980008075247798,26,Spending: crime,0.18706987215827123
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241281x,0.015905644124891993,27,Spending: aid to the poor,0.18619933100330197
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241121,0.015580726374337788,28,Emotion: angry,0.18239568323467056
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241124,0.014847447145927718,29,Emotion: proud,0.1738115541861087
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241104,0.014498637803548696,30,2020 presidential vote recall,0.1697282196358887
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241465x,0.014479269680639336,31,Education,0.16950148681701033
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241269x,0.013080931357761902,32,Spending: border security,0.15313184732353113
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241607,0.013058459984810415,33,Sexism: women over-interpret remarks,0.1528687863259734
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241540,0.012995986559447252,34,Able to make housing payments,0.15213744153309566
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241255,0.01291555736953338,35,Govt assistance to Blacks scale,0.15119589768630085
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241126,0.012662265089974511,36,Emotion: nervous,0.14823073307983553
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241579,0.010808444264320384,37,Self-censorship frequency,0.1265289903005797
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241577,0.010322951108566162,38,Felt depressed/hopeless (PHQ-2),0.12084556747920235
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241125,0.010074015035838326,39,Emotion: irritated,0.11793139878282287
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241275x,0.009827024975931584,40,Spending: welfare programs,0.11504001107428434
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241372x,0.009687436839997288,41,Transgender bathroom policy (summary),0.11340592336787776
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241039,0.00948816506243197,42,Pre-election presidential vote,0.11107314945572709
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241335,0.009476385829642456,43,Trust in news media,0.11093525593516809
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241252,0.009335474341127538,44,Guaranteed job/income scale,0.10928567640942628
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241571,0.008543304963381484,45,Has health insurance,0.10001215016808529
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241266x,0.008026548542603304,46,Spending: public schools,0.09396274411542653
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241236,0.007897222723649323,47,Party better: economy,0.09244879216342729
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241387,0.007884639992994527,48,Party better: environment,0.09230149249975311
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241290x,0.007610255662946098,49,DEI approval (summary),0.08908941392615724
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241237,0.00743481818521384,50,Party better: immigration,0.08703565610722484
